year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity,renewables_percentage
2006,9270073.0,11146534912.0,6.112850323153923e-06,1.4615638357583654e-05,6.018268453891789e-06,25.0
2007,9523177.0,11698685952.0,5.730797177956802e-06,1.4987379901227156e-05,6.018268453891789e-06,26.666666666666668
2008,9781999.0,12678515712.0,6.876956613548162e-06,1.5854776836395322e-05,1.053196979431063e-05,38.88888888888889
2009,10043736.0,13135721472.0,9.169275484730883e-06,1.6796522080292192e-05,1.5045671134729472e-05,41.66666666666667
2010,10309032.0,13742205952.0,1.0315434920322245e-05,1.9064145496517553e-05,1.655023824820242e-05,40.74074074074074
2011,10576932.0,14451292160.0,1.1843647501110724e-05,2.1375138759501317e-05,1.9559372475148313e-05,41.935483870967744
2012,10840331.0,15725583360.0,1.2989806936702086e-05,2.361797940615044e-05,2.106393958862126e-05,41.1764705882353
2013,11101352.0,16457678848.0,1.4518019517490565e-05,2.5185489581847207e-05,2.2568506702094204e-05,39.473684210526315
2014,11368450.0,17604784128.0,1.7956497824264646e-05,2.672202129557368e-05,3.1595909382931884e-05,44.68085106382979
2015,11642963.0,18832035840.0,2.2159082421432966e-05,2.9776497645844445e-05,4.513701340418841e-05,51.724137931034484
2016,11930902.0,19946534912.0,2.559756072820705e-05,3.006149949597113e-05,4.6641580517661356e-05,46.26865671641791
2017,12230343.0,21167263744.0,2.903603903498113e-05,3.307880169187755e-05,5.416441608502609e-05,47.368421052631575
2018,12531810.0,22988918784.0,3.2856570486952334e-05,3.6443062661851236e-05,5.566898319849904e-05,43.02325581395349
2000,159513.0,1100265088.0,9.933381775125124e-06,7.385265333717558e-06,0.0,0.0
2001,160611.0,1080200320.0,1.0315434920322245e-05,8.15353119058079e-06,0.0,0.0
2002,161814.0,1106971904.0,1.0315434920322245e-05,7.205590254289864e-06,0.0,0.0
2003,163060.0,1185932160.0,1.0697488065519365e-05,8.147335498186734e-06,0.0,0.0
2004,164252.0,1306608256.0,1.1079541210716483e-05,8.184509652551085e-06,0.0,0.0
2005,165394.0,1321769088.0,1.1461594355913604e-05,8.494294272254002e-06,0.0,0.0
2006,166476.0,1443383680.0,1.1843647501110724e-05,8.587229658164879e-06,0.0,0.0
2007,167524.0,1491085440.0,1.2225700646307845e-05,8.934188432232147e-06,0.0,0.0
2008,168584.0,1589069440.0,1.2607753791504965e-05,9.231581667146944e-06,0.0,0.0
2009,169694.0,1609861504.0,1.2989806936702086e-05,8.958971201808379e-06,0.0,0.0
2010,170950.0,1619438336.0,1.3753913227096324e-05,9.442235208544929e-06,0.0,0.0
2011,172157.0,1661309952.0,1.3753913227096324e-05,9.609518903184506e-06,0.0,0.0
2012,173139.0,1630854016.0,1.3753913227096324e-05,9.55995336403204e-06,0.0,0.0
2013,173992.0,1636030976.0,1.3753913227096324e-05,9.528974902061746e-06,0.0,0.0
2014,174814.0,1635704960.0,1.3753913227096324e-05,9.640497365154798e-06,0.0,0.0
2015,175638.0,1670339968.0,1.3753913227096324e-05,9.714845673883497e-06,0.0,0.0
2016,176429.0,1678211968.0,1.4135966372293446e-05,9.838759521764665e-06,0.0,0.0
2017,177175.0,1722539136.0,1.4518019517490565e-05,1.0805287535237765e-05,0.0,0.0
2018,177894.0,1733778304.0,1.4135966372293446e-05,9.801585367400314e-06,0.0,0.0
2000,143729.0,312853568.0,1.1461594355913603e-06,1.1771815548710847e-07,1.5045671134729472e-06,33.333333333333336
2001,146271.0,323367296.0,7.641062903942403e-07,0.0,0.0,0.0
2002,149852.0,330763136.0,1.1461594355913603e-06,2.2304492618610057e-07,1.5045671134729472e-06,33.333333333333336
2003,153774.0,356840544.0,1.1461594355913603e-06,4.3989415997814274e-07,1.5045671134729472e-06,33.333333333333336
2004,157714.0,370949152.0,1.5282125807884807e-06,7.187003177107689e-07,1.5045671134729472e-06,25.0
2005,161697.0,400193568.0,1.5282125807884807e-06,8.550055503800524e-07,0.0,0.0
2006,165739.0,436915680.0,1.5282125807884807e-06,1.022289245019628e-06,1.5045671134729472e-06,25.0
2007,169859.0,454094464.0,1.5282125807884807e-06,1.1276160157186202e-06,1.5045671134729472e-06,25.0
2008,174019.0,491548800.0,1.910265725985601e-06,1.3506609419047207e-06,1.5045671134729472e-06,20.0
